11975906419540449,6.79825
11975906419540450,5.21122
11976043858493441,5.83828
11976043858493442,10.7062
11976181297446913,9.57029
11976181297446914,8.14725
11976181297446916,18.3274
11976181297446917,11.8302
11976181297447403,6.5856
11976181297447404,10.6393
11980441905005134,5.62193
11980579343958056,25.8408
11980579343958057,24.365
11980579343958059,8.88664
11980579343958060,6.25779
11980579343958061,\N
11980579343958062,10.2715
11980579343958063,10.9916
11980579343958064,11.8486
11980579343958065,19.5775
11980579343958198,14.5113
11980579343958199,32.8951
11980579343958200,17.6246
11980579343958201,4.53911
11980579343958723,8.08808
11980579343958724,8.12795
11980854221865093,6.46863
11980991660818494,7.88659
11980991660818495,\N
11980991660819003,13.941
11981129099771905,2.56484
11981129099771907,2.02405
11981129099772602,8.61396
11981129099772603,12.5288
11981129099772604,0.918122
11981129099772605,16.6648
11981129099772606,177.446
